pole,gloss,phoneme,mean_z,n_langs,n_families,family_sign_concord,total_count,p_perm,q_fdr,significant
離卦-static,fire / enclosure,w,0.371,5,5,0.6,36,0.4677,0.7006,False
兌卦-dynamic,marsh / emission,ʌ,-0.217,6,3,0.67,249,0.4677,0.7006,False
離卦-static,fire / enclosure,n,0.208,21,10,0.4,225,0.4627,0.7006,False
坎卦-static,water / core,a͡ʊ,0.188,6,2,0.5,28,0.4726,0.7006,False
巽卦-static,wind / detachment,s,-0.179,19,8,0.75,196,0.4677,0.7006,False
震卦-static,thunder / base,a͡ɪ,0.177,5,3,0.33,309,0.4726,0.7006,False
震卦-dynamic,thunder / rising,ə,0.165,11,6,0.33,312,0.4677,0.7006,False
坤卦-static,earth / void,l,-0.11,19,9,0.89,439,0.4627,0.7006,False
震卦-static,thunder / base,o,0.1,19,10,0.6,1043,0.4726,0.7006,False
艮卦-static,mountain / cover,ʌ,-0.17,6,3,0.67,273,0.4776,0.7063,False
中卦-static,center / uniformity,a,-0.159,21,10,0.5,698,0.4826,0.7103,False
兌卦-dynamic,marsh / emission,p,-0.107,20,10,0.6,479,0.4826,0.7103,False
離卦-dynamic,fire / contraction,ɾ,0.169,6,3,0.33,372,0.4876,0.7159,False
坤卦-static,earth / void,ɾ,-0.239,5,3,0.67,107,0.4925,0.7165,False
坎卦-static,water / core,ɔ,0.126,9,4,0.5,180,0.4925,0.7165,False
坤卦-static,earth / void,b,0.108,20,10,0.4,234,0.4925,0.7165,False
坎卦-static,water / core,r,0.105,16,7,0.71,801,0.4925,0.7165,False
坎卦-static,water / core,ʌ,-0.192,6,3,0.67,232,0.5025,0.7276,False
震卦-dynamic,thunder / rising,f,-0.137,16,7,0.86,135,0.5025,0.7276,False
乾卦-static,sky / fullness,ɔ,0.182,10,4,0.75,82,0.5075,0.7298,False
中卦-static,center / uniformity,r,-0.175,14,7,0.71,201,0.5075,0.7298,False
離卦-dynamic,fire / contraction,ʌ,0.173,6,3,0.67,335,0.5075,0.7298,False
乾卦-dynamic,sky / tumult,a,-0.219,20,10,0.4,315,0.5124,0.7319,False
巽卦-static,wind / detachment,p,0.211,13,7,0.57,106,0.5124,0.7319,False
坎卦-static,water / core,ɪ,-0.14,10,5,0.4,314,0.5124,0.7319,False
中卦-dynamic,center / mixture,n,-0.166,21,10,0.6,202,0.5174,0.7356,False
坎卦-dynamic,water / dispersal,l,0.147,21,11,0.55,343,0.5174,0.7356,False
坤卦-static,earth / void,ɡ,-0.119,13,9,0.56,148,0.5224,0.7394,False
震卦-static,thunder / base,l,0.078,20,10,0.3,1206,0.5224,0.7394,False
兌卦-static,marsh / cavity,m,0.358,10,7,0.43,56,0.5274,0.7447,False
坎卦-static,water / core,ɑ,0.126,8,4,0.5,249,0.5373,0.7554,False
震卦-dynamic,thunder / rising,s,0.098,22,11,0.73,609,0.5373,0.7554,False
中卦-dynamic,center / mixture,ɛ,0.195,10,6,0.17,77,0.5423,0.7607,False
乾卦-static,sky / fullness,e,0.127,19,10,0.6,345,0.5473,0.7625,False
離卦-dynamic,fire / contraction,r,-0.084,16,7,0.57,952,0.5473,0.7625,False
艮卦-static,mountain / cover,m,-0.065,22,11,0.45,819,0.5473,0.7625,False
