many*,"-1.0,-1.0,-1.0"
some*,"-1.0,-1.0,1.0"
few*,"-1.0,1.0,-1.0"
other*,"-1.0,-1.0,1.0"
part*,"-1.0,1.0,-1.0"
whole*,"1.0,-1.0,1.0"
more*,"-1.0,1.0,-1.0"
less*,"1.0,-1.0,-1.0"
most*,"-1.0,-1.0,-1.0"
least*,"-1.0,1.0,1.0"
each*,"-1.0,1.0,-1.0"
pair*,"1.0,-1.0,1.0"
half*,"-1.0,-1.0,1.0"
zero*,"1.0,-1.0,1.0"
one*,"1.0,-1.0,-1.0"
two*,"1.0,1.0,-1.0"
three*,"1.0,-1.0,-1.0"
four*,"1.0,1.0,-1.0"
five*,"-1.0,1.0,1.0"
six*,"1.0,1.0,-1.0"
seven*,"-1.0,1.0,1.0"
eight*,"1.0,1.0,-1.0"
nine*,"-1.0,-1.0,-1.0"
ten*,"1.0,1.0,1.0"
hundred*,"-1.0,-1.0,1.0"
thousand*,"-1.0,-1.0,1.0"
ten-thousand*,"-1.0,-1.0,1.0"
million*,"-1.0,-1.0,-1.0"
billion*,"-1.0,-1.0,-1.0"
trillion*,"-1.0,-1.0,-1.0"
first*,"-1.0,-1.0,1.0"
last*,"1.0,1.0,-1.0"
next*,"1.0,1.0,-1.0"
previous*,"-1.0,-1.0,1.0"
thing*,"1.0,1.0,-1.0"
human*,"-1.0,-1.0,1.0"
person*,"1.0,-1.0,1.0"
crowd*,"1.0,1.0,-1.0"
population*,"1.0,1.0,-1.0"
man*,"1.0,-1.0,1.0"
woman*,"-1.0,-1.0,-1.0"
child*,"1.0,-1.0,1.0"
boy*,"1.0,-1.0,-1.0"
girl*,"-1.0,1.0,-1.0"
son*,"1.0,-1.0,-1.0"
daughter*,"-1.0,-1.0,-1.0"
wife*,"-1.0,1.0,1.0"
husband*,"-1.0,-1.0,-1.0"
mother*,"-1.0,-1.0,-1.0"
father*,"-1.0,1.0,1.0"
parent*,"-1.0,-1.0,-1.0"
family*,"-1.0,-1.0,1.0"
baby*,"1.0,-1.0,-1.0"
adult*,"1.0,-1.0,1.0"
grandfather*,"1.0,-1.0,-1.0"
grandmother*,"-1.0,-1.0,-1.0"
grandson*,"1.0,-1.0,-1.0"
granddaughter*,"-1.0,1.0,-1.0"
sister*,"-1.0,1.0,1.0"
brother*,"-1.0,-1.0,1.0"
big-brother*,"-1.0,-1.0,-1.0"
little-brother*,"-1.0,1.0,1.0"
big-sister*,"1.0,1.0,-1.0"
little-sister*,"-1.0,1.0,1.0"
siblings*,"-1.0,-1.0,1.0"
son-in-law*,"1.0,-1.0,1.0"
daughter-in-law*,"-1.0,-1.0,-1.0"
brother-in-law*,"-1.0,-1.0,-1.0"
sister-in-law*,"-1.0,1.0,-1.0"
father-in-law*,"1.0,-1.0,1.0"
mother-in-law*,"-1.0,-1.0,-1.0"
parents-in-law*,"-1.0,1.0,-1.0"
stepfather*,"1.0,1.0,1.0"
stepmother*,"-1.0,-1.0,1.0"
stepdaughter*,"1.0,1.0,1.0"
stepson*,"1.0,1.0,1.0"
aunt*,"-1.0,1.0,-1.0"
cousin*,"1.0,-1.0,1.0"
nephew*,"1.0,1.0,-1.0"
niece*,"-1.0,1.0,-1.0"
